,t,o,h,l,c,v,symbol
15,1589994900,1403.6,1403.6,1400.15,1400.15,257,GOOG
16,1589995800,1404.9,1408.645,1404.26,1407.82,3392,GOOG
17,1589996700,1406.64,1408.48,1406.64,1407.95,909,GOOG
18,1589997600,1408.565,1408.595,1402.0,1402.0,7270,GOOG
19,1589998500,1402.975,1405.125,1402.975,1404.38,2291,GOOG
20,1589999400,1407.98,1407.98,1406.15,1407.64,2664,GOOG
21,1590000300,1406.89,1409.67,1406.72,1409.19,2948,GOOG
22,1590001200,1409.42,1409.42,1404.81,1404.81,335,GOOG
23,1590002100,1407.33,1408.83,1407.33,1407.47,1579,GOOG
24,1590003000,1408.33,1409.81,1405.78,1409.81,5708,GOOG
25,1590003900,1409.83,1409.855,1404.23,1407.07,7993,GOOG
0,1589981400,1389.64,1393.64,1388.26,1393.64,3078,GOOG
1,1589982300,1395.93,1402.9,1395.93,1402.63,2560,GOOG
2,1589983200,1403.745,1405.57,1402.49,1405.495,4221,GOOG
3,1589984100,1404.455,1404.59,1397.81,1399.14,4082,GOOG
4,1589985000,1397.655,1402.36,1396.38,1402.36,2658,GOOG
5,1589985900,1401.35,1401.535,1395.07,1397.3,2417,GOOG
6,1589986800,1399.97,1401.99,1399.71,1400.29,2439,GOOG
7,1589987700,1401.37,1403.72,1401.23,1403.72,1789,GOOG
8,1589988600,1402.29,1404.69,1402.29,1404.69,1343,GOOG
9,1589989500,1404.785,1409.52,1404.785,1409.5,1531,GOOG
10,1589990400,1409.87,1409.87,1406.0,1407.29,1992,GOOG
11,1589991300,1405.23,1405.23,1402.37,1403.59,912,GOOG
12,1589992200,1405.19,1406.37,1402.91,1402.92,1535,GOOG
13,1589993100,1401.83,1404.49,1401.83,1404.49,321,GOOG
14,1589994000,1407.0,1407.01,1402.8,1405.35,1322,GOOG
15,1589994900,1403.6,1403.6,1400.15,1400.15,257,GOOG
16,1589995800,1404.9,1408.645,1404.26,1407.82,3392,GOOG
17,1589996700,1406.64,1408.48,1406.64,1407.95,909,GOOG
18,1589997600,1408.565,1408.595,1402.0,1402.0,7270,GOOG
19,1589998500,1402.975,1405.125,1402.975,1404.38,2291,GOOG
20,1589999400,1407.98,1407.98,1406.15,1407.64,2664,GOOG
21,1590000300,1406.89,1409.67,1406.72,1409.19,2948,GOOG
22,1590001200,1409.42,1409.42,1404.81,1404.81,335,GOOG
23,1590002100,1407.33,1408.83,1407.33,1407.47,1579,GOOG
24,1590003000,1408.33,1409.81,1405.78,1409.81,5708,GOOG
25,1590003900,1409.83,1409.855,1404.23,1407.07,7993,GOOG
0,1591709400,1445.53,1456.55,1444.26,1456.55,6144,GOOG
1,1591710300,1456.42,1457.54,1455.04,1456.05,5692,GOOG
2,1591711200,1455.64,1459.03,1454.02,1457.835,7364,GOOG
3,1591712100,1460.84,1462.02,1460.465,1460.51,7102,GOOG
4,1591713000,1461.64,1465.73,1461.05,1465.18,4414,GOOG
5,1591713900,1465.22,1467.49,1463.02,1464.99,5722,GOOG
6,1591714800,1465.34,1466.015,1463.12,1463.12,4362,GOOG
7,1591715700,1462.94,1464.29,1461.98,1463.67,3680,GOOG
8,1591716600,1464.63,1464.63,1462.55,1464.365,3098,GOOG
9,1591717500,1462.145,1462.22,1459.97,1460.54,1978,GOOG
10,1591718400,1457.245,1459.7,1457.245,1459.28,1386,GOOG
11,1591719300,1459.265,1460.96,1459.265,1459.65,5180,GOOG
12,1591720200,1458.64,1460.24,1458.64,1460.2,2708,GOOG
13,1591721100,1459.655,1459.655,1458.3,1459.41,2868,GOOG
14,1591722000,1458.23,1458.98,1455.65,1455.65,3934,GOOG
15,1591722900,1455.15,1455.87,1454.7,1455.475,3862,GOOG
16,1591723800,1456.09,1459.35,1456.09,1458.405,1116,GOOG
17,1591724700,1457.38,1459.29,1457.38,1458.87,1190,GOOG
18,1591725600,1457.47,1459.385,1457.47,1459.385,1156,GOOG
19,1591726500,1458.93,1459.375,1455.76,1457.22,1502,GOOG
20,1591727400,1457.48,1457.48,1455.915,1456.08,1708,GOOG
21,1591728300,1455.18,1455.87,1455.18,1455.87,502,GOOG
22,1591729200,1455.14,1456.99,1455.14,1456.99,996,GOOG
23,1591730100,1458.0,1459.83,1457.485,1458.6,2284,GOOG
24,1591731000,1459.57,1460.59,1457.035,1458.66,6432,GOOG
25,1591731900,1459.38,1459.38,1454.64,1455.15,29420,GOOG
0,1591709400,1445.53,1456.55,1444.26,1456.55,6144,GOOG
1,1591710300,1456.42,1457.54,1455.04,1456.05,5692,GOOG
2,1591711200,1455.64,1459.03,1454.02,1457.835,7364,GOOG
